domain,seed,test_battery,cutoff,model,generated_RMSE,frozen_RMSE,abs_delta_RMSE,generated_MAE,frozen_MAE,abs_delta_MAE
NASA,3407,B0005,70,Local_linear_anchor,0.15006656130617377,0.1500665613061737,5.551115123125783e-17,0.12119691546404063,0.1211969154640406,2.7755575615628914e-17
NASA,3407,B0005,90,Local_linear_anchor,0.05841843945397366,0.0584184394539736,6.245004513516506e-17,0.05308284921772183,0.0530828492177218,2.7755575615628914e-17
NASA,3407,B0005,50,TRAIL_Lite,0.08287960927931651,0.0828796092793165,1.3877787807814457e-17,0.07600092383410179,0.0760009238341017,8.326672684688674e-17
NASA,3407,B0005,70,TRAIL_Lite,0.05322956191722325,0.0532295619172232,4.85722573273506e-17,0.05000693024173004,0.05000693024173,3.469446951953614e-17
NASA,3407,B0005,90,TRAIL_Lite,0.01520019510264104,0.015200195102641,3.9898639947466563e-17,0.01279060046600592,0.0127906004660059,2.0816681711721685e-17
NASA,3407,B0005,50,TRAIL_full,0.1841043195842902,0.1841043195842902,0.0,0.1691701179664654,0.1691701179664654,0.0
NASA,3407,B0005,70,TRAIL_full,0.09884893112939404,0.098848931129394,4.163336342344337e-17,0.08824864630548249,0.0882486463054824,8.326672684688674e-17
NASA,3407,B0005,90,TRAIL_full,0.043514954656057155,0.0435149546560571,5.551115123125783e-17,0.035765892917298536,0.0357658929172985,3.469446951953614e-17
NASA,3407,B0006,50,Local_linear_anchor,0.5764904790899072,0.5764904790899072,0.0,0.5191245155072747,0.5191245155072747,0.0
NASA,3407,B0006,70,Local_linear_anchor,0.3310668353274839,0.3310668353274839,0.0,0.2859114125492043,0.2859114125492043,0.0
NASA,3407,B0006,90,Local_linear_anchor,0.18678871338406042,0.1867887133840604,2.7755575615628914e-17,0.15783779930571226,0.1578377993057122,5.551115123125783e-17
NASA,3407,B0006,50,TRAIL_Lite,0.15239205066896744,0.1523920506689674,2.7755575615628914e-17,0.146475117764594,0.146475117764594,0.0
NASA,3407,B0006,70,TRAIL_Lite,0.07456218955890163,0.0745621895589016,2.7755575615628914e-17,0.06904493763756958,0.0690449376375695,8.326672684688674e-17
NASA,3407,B0006,90,TRAIL_Lite,0.026275786992157324,0.0262757869921573,2.42861286636753e-17,0.02053581267612859,0.0205358126761285,9.020562075079397e-17
NASA,3407,B0006,50,TRAIL_full,0.11492614490285824,0.1149261449028582,4.163336342344337e-17,0.10998034141059622,0.1099803414105962,1.3877787807814457e-17
NASA,3407,B0006,70,TRAIL_full,0.06874682595173211,0.0687468259517321,1.3877787807814457e-17,0.0628559063772154,0.0628559063772154,0.0
NASA,3407,B0006,90,TRAIL_full,0.04537777544560849,0.0453777754456084,9.020562075079397e-17,0.03607782800087649,0.0360778280008764,9.020562075079397e-17
NASA,3407,B0007,50,Local_linear_anchor,0.1691728407710973,0.1691728407710973,0.0,0.1558112080538772,0.1558112080538772,0.0
NASA,3407,B0007,70,Local_linear_anchor,0.15251728639021803,0.152517286390218,2.7755575615628914e-17,0.1261327498289363,0.1261327498289363,0.0
NASA,3407,B0007,90,Local_linear_anchor,0.130396422674515,0.130396422674515,0.0,0.1138861945490104,0.1138861945490104,0.0
NASA,3407,B0007,50,TRAIL_Lite,0.033036100298313,0.033036100298313,0.0,0.028559901792090857,0.0285599017920908,5.551115123125783e-17
NASA,3407,B0007,70,TRAIL_Lite,0.045245871457426305,0.0452458714574263,6.938893903907228e-18,0.04054180770258131,0.0405418077025813,1.3877787807814457e-17
NASA,3407,B0007,90,TRAIL_Lite,0.06309337736538968,0.0630933773653896,8.326672684688674e-17,0.05944027160956713,0.0594402716095671,2.7755575615628914e-17
NASA,3407,B0007,50,TRAIL_full,0.06365537730267141,0.0636553773026714,1.3877787807814457e-17,0.056822559960563394,0.0568225599605633,9.71445146547012e-17
NASA,3407,B0007,70,TRAIL_full,0.07795883699073014,0.0779588369907301,4.163336342344337e-17,0.07095843288886056,0.0709584328888605,5.551115123125783e-17
NASA,3407,B0007,90,TRAIL_full,0.10952124133589203,0.109521241335892,2.7755575615628914e-17,0.1025446780584025,0.1025446780584025,0.0
NASA,3407,B0018,50,Local_linear_anchor,0.5348787315242258,0.5348787315242258,0.0,0.4766608362556377,0.4766608362556377,0.0
NASA,3407,B0018,70,Local_linear_anchor,0.23614210595120674,0.2361421059512067,5.551115123125783e-17,0.19771997927239515,0.1977199792723951,5.551115123125783e-17
NASA,3407,B0018,90,Local_linear_anchor,0.016021862385384604,0.0160218623853846,3.469446951953614e-18,0.01265073600961816,0.0126507360096181,5.898059818321144e-17
NASA,3407,B0018,50,TRAIL_Lite,0.05960125722779687,0.0596012572277968,6.938893903907228e-17,0.05343724458075324,0.0534372445807532,4.163336342344337e-17
NASA,3407,B0018,70,TRAIL_Lite,0.016411843393989288,0.0164118433939892,8.673617379884035e-17,0.013394522708754297,0.0133945227087542,9.71445146547012e-17
NASA,3407,B0018,90,TRAIL_Lite,0.02271719864404795,0.0227171986440479,5.204170427930421e-17,0.01970043761316381,0.0197004376131638,1.0408340855860843e-17
NASA,3407,B0018,50,TRAIL_full,0.039940788044939404,0.0399407880449394,6.938893903907228e-18,0.032951365043463285,0.0329513650434632,8.326672684688674e-17
NASA,3407,B0018,70,TRAIL_full,0.030651033641557197,0.0306510336415571,9.71445146547012e-17,0.025539457807122273,0.0255394578071222,7.28583859910259e-17
NASA,3407,B0018,90,TRAIL_full,0.055364921162698144,0.0553649211626981,4.163336342344337e-17,0.04816843842951432,0.0481684384295143,2.0816681711721685e-17
CALCE_CS2,42,CS2_35,150,Local_linear_anchor,0.7211735321063102,0.7211735321063102,0.0,0.6743084660386979,0.6743084660386979,0.0
CALCE_CS2,42,CS2_35,250,Local_linear_anchor,0.15888488467684442,0.1588848846768444,2.7755575615628914e-17,0.14506127560724613,0.1450612756072461,2.7755575615628914e-17
CALCE_CS2,42,CS2_35,350,Local_linear_anchor,0.19971925522809114,0.1997192552280911,2.7755575615628914e-17,0.1439681138310923,0.1439681138310923,0.0
CALCE_CS2,42,CS2_35,150,TRAIL_Lite,0.042791746660946386,0.0427917466609463,8.326672684688674e-17,0.0393989701261213,0.0393989701261213,0.0
CALCE_CS2,42,CS2_35,250,TRAIL_Lite,0.041435164614797085,0.041435164614797,8.326672684688674e-17,0.0366253733052699,0.0366253733052699,0.0
CALCE_CS2,42,CS2_35,350,TRAIL_Lite,0.046655207345645135,0.0466552073456451,3.469446951953614e-17,0.043950947806243465,0.0439509478062434,6.245004513516506e-17
CALCE_CS2,42,CS2_35,150,TRAIL_full,0.21621161483801418,0.2162116148380141,8.326672684688674e-17,0.2033009833622606,0.2033009833622606,0.0
CALCE_CS2,42,CS2_35,250,TRAIL_full,0.2221592507619306,0.2221592507619306,0.0,0.20963552782641917,0.2096355278264191,8.326672684688674e-17
CALCE_CS2,42,CS2_35,350,TRAIL_full,0.21579980117777373,0.2157998011777737,2.7755575615628914e-17,0.2054160462870716,0.2054160462870716,0.0
CALCE_CS2,42,CS2_36,150,Local_linear_anchor,0.582115500168527,0.582115500168527,0.0,0.48296568622339775,0.4829656862233977,5.551115123125783e-17
CALCE_CS2,42,CS2_36,250,Local_linear_anchor,0.7249845505448596,0.7249845505448596,0.0,0.6123503047562986,0.6123503047562986,0.0
CALCE_CS2,42,CS2_36,350,Local_linear_anchor,0.06260220046481009,0.06260220046481,8.326672684688674e-17,0.035809768645870356,0.0358097686458703,5.551115123125783e-17
CALCE_CS2,42,CS2_36,150,TRAIL_Lite,0.046851718462705534,0.0468517184627055,3.469446951953614e-17,0.04178585714940566,0.0417858571494056,5.551115123125783e-17
CALCE_CS2,42,CS2_36,250,TRAIL_Lite,0.040520055173013166,0.0405200551730131,6.245004513516506e-17,0.03634082069461178,0.0363408206946117,8.326672684688674e-17
CALCE_CS2,42,CS2_36,350,TRAIL_Lite,0.03526286329964177,0.0352628632996417,6.938893903907228e-17,0.03154026103589231,0.0315402610358923,6.938893903907228e-18
CALCE_CS2,42,CS2_36,150,TRAIL_full,0.11109661105329412,0.1110966110532941,1.3877787807814457e-17,0.10360388881681976,0.1036038888168197,5.551115123125783e-17
CALCE_CS2,42,CS2_36,250,TRAIL_full,0.08215125845626231,0.0821512584562623,1.3877787807814457e-17,0.07523599159775583,0.0752359915977558,2.7755575615628914e-17
CALCE_CS2,42,CS2_36,350,TRAIL_full,0.07170629065982526,0.0717062906598252,5.551115123125783e-17,0.065229577876051,0.065229577876051,0.0
CALCE_CS2,42,CS2_37,150,Local_linear_anchor,0.7350665416058683,0.7350665416058683,0.0,0.6169485851899518,0.6169485851899518,0.0
CALCE_CS2,42,CS2_37,250,Local_linear_anchor,0.055045789786175685,0.0550457897861756,8.326672684688674e-17,0.04703399529207957,0.0470339952920795,6.938893903907228e-17
CALCE_CS2,42,CS2_37,350,Local_linear_anchor,1.7677328508995722,1.7677328508995722,0.0,1.5175562802056568,1.5175562802056568,0.0
CALCE_CS2,42,CS2_37,150,TRAIL_Lite,0.138703954500949,0.138703954500949,0.0,0.09482024795388533,0.0948202479538853,2.7755575615628914e-17
CALCE_CS2,42,CS2_37,250,TRAIL_Lite,0.14876651223411638,0.1487665122341163,8.326672684688674e-17,0.10647551440823762,0.1064755144082376,1.3877787807814457e-17
CALCE_CS2,42,CS2_37,350,TRAIL_Lite,0.16155335396414613,0.1615533539641461,2.7755575615628914e-17,0.12408344744565981,0.1240834474456598,1.3877787807814457e-17
CALCE_CS2,42,CS2_37,150,TRAIL_full,0.26457458626048713,0.2645745862604871,5.551115123125783e-17,0.22184576260853925,0.2218457626085392,5.551115123125783e-17
CALCE_CS2,42,CS2_37,250,TRAIL_full,0.2799494464689332,0.2799494464689332,0.0,0.24183519422154443,0.2418351942215444,2.7755575615628914e-17
CALCE_CS2,42,CS2_37,350,TRAIL_full,0.2871827856629857,0.2871827856629857,0.0,0.2530814556916118,0.2530814556916118,0.0
CALCE_CS2,42,CS2_38,150,Local_linear_anchor,0.06881862433888897,0.0688186243388889,6.938893903907228e-17,0.04697759616261101,0.046977596162611,1.3877787807814457e-17
CALCE_CS2,42,CS2_38,250,Local_linear_anchor,0.10282604846764175,0.1028260484676417,4.163336342344337e-17,0.05959327312785,0.05959327312785,0.0
CALCE_CS2,42,CS2_38,350,Local_linear_anchor,0.2635499380577565,0.2635499380577565,0.0,0.2086171027948802,0.2086171027948802,0.0
CALCE_CS2,42,CS2_38,150,TRAIL_Lite,0.18388784274216247,0.1838878427421624,5.551115123125783e-17,0.13585755446253994,0.1358575544625399,5.551115123125783e-17
CALCE_CS2,42,CS2_38,250,TRAIL_Lite,0.19670805710226028,0.1967080571022602,8.326672684688674e-17,0.1535869499486983,0.1535869499486983,0.0
CALCE_CS2,42,CS2_38,350,TRAIL_Lite,0.21269465920113562,0.2126946592011356,2.7755575615628914e-17,0.17788797946630805,0.177887979466308,5.551115123125783e-17
CALCE_CS2,42,CS2_38,150,TRAIL_full,0.19414849476628168,0.1941484947662816,8.326672684688674e-17,0.1376672911478293,0.1376672911478293,0.0
CALCE_CS2,42,CS2_38,250,TRAIL_full,0.20732475267803496,0.2073247526780349,5.551115123125783e-17,0.15310509695650165,0.1531050969565016,5.551115123125783e-17
CALCE_CS2,42,CS2_38,350,TRAIL_full,0.22385363784791387,0.2238536378479138,8.326672684688674e-17,0.176256747894009,0.176256747894009,0.0
CALCE_CS2,2024,CS2_35,150,Local_linear_anchor,0.7211735321063102,0.7211735321063102,0.0,0.6743084660386979,0.6743084660386979,0.0
CALCE_CS2,2024,CS2_35,250,Local_linear_anchor,0.15888488467684442,0.1588848846768444,2.7755575615628914e-17,0.14506127560724613,0.1450612756072461,2.7755575615628914e-17
CALCE_CS2,2024,CS2_35,350,Local_linear_anchor,0.19971925522809114,0.1997192552280911,2.7755575615628914e-17,0.1439681138310923,0.1439681138310923,0.0
CALCE_CS2,2024,CS2_35,150,TRAIL_Lite,0.4192581958605118,0.4192581958605118,0.0,0.3851853194307034,0.3851853194307034,0.0
CALCE_CS2,2024,CS2_35,250,TRAIL_Lite,0.37929807300274176,0.3792980730027417,5.551115123125783e-17,0.34889936227810886,0.3488993622781088,5.551115123125783e-17
CALCE_CS2,2024,CS2_35,350,TRAIL_Lite,0.3313099575085733,0.3313099575085733,0.0,0.3081468830019511,0.3081468830019511,0.0
CALCE_CS2,2024,CS2_35,150,TRAIL_full,0.24133684301730285,0.2413368430173028,5.551115123125783e-17,0.22709704768596073,0.2270970476859607,2.7755575615628914e-17
CALCE_CS2,2024,CS2_35,250,TRAIL_full,0.22666120295525852,0.2266612029552585,2.7755575615628914e-17,0.21143293697874493,0.2114329369787449,2.7755575615628914e-17
CALCE_CS2,2024,CS2_35,350,TRAIL_full,0.19993252036007483,0.1999325203600748,2.7755575615628914e-17,0.1884007586772346,0.1884007586772346,0.0
CALCE_CS2,2024,CS2_36,150,Local_linear_anchor,0.582115500168527,0.582115500168527,0.0,0.48296568622339775,0.4829656862233977,5.551115123125783e-17
CALCE_CS2,2024,CS2_36,250,Local_linear_anchor,0.7249845505448596,0.7249845505448596,0.0,0.6123503047562986,0.6123503047562986,0.0
CALCE_CS2,2024,CS2_36,350,Local_linear_anchor,0.06260220046481009,0.06260220046481,8.326672684688674e-17,0.035809768645870356,0.0358097686458703,5.551115123125783e-17
CALCE_CS2,2024,CS2_36,150,TRAIL_Lite,0.28738428796853716,0.2873842879685371,5.551115123125783e-17,0.25339792690908325,0.2533979269090832,5.551115123125783e-17
CALCE_CS2,2024,CS2_36,250,TRAIL_Lite,0.10581371180307053,0.1058137118030705,2.7755575615628914e-17,0.0892963321822023,0.0892963321822023,0.0
CALCE_CS2,2024,CS2_36,350,TRAIL_Lite,0.08128410986243675,0.0812841098624367,5.551115123125783e-17,0.06537564718261123,0.0653756471826112,2.7755575615628914e-17
CALCE_CS2,2024,CS2_36,150,TRAIL_full,0.2892229628020706,0.2892229628020706,0.0,0.2514157734425816,0.2514157734425816,0.0
CALCE_CS2,2024,CS2_36,250,TRAIL_full,0.2803651851080913,0.2803651851080913,0.0,0.24363067698062654,0.2436306769806265,5.551115123125783e-17
CALCE_CS2,2024,CS2_36,350,TRAIL_full,0.266601342498889,0.266601342498889,0.0,0.23269130050936274,0.2326913005093627,2.7755575615628914e-17
CALCE_CS2,2024,CS2_37,150,Local_linear_anchor,0.7350665416058683,0.7350665416058683,0.0,0.6169485851899518,0.6169485851899518,0.0
CALCE_CS2,2024,CS2_37,250,Local_linear_anchor,0.055045789786175685,0.0550457897861756,8.326672684688674e-17,0.04703399529207957,0.0470339952920795,6.938893903907228e-17
CALCE_CS2,2024,CS2_37,350,Local_linear_anchor,1.7677328508995722,1.7677328508995722,0.0,1.5175562802056568,1.5175562802056568,0.0
CALCE_CS2,2024,CS2_37,150,TRAIL_Lite,0.122331161919578,0.122331161919578,0.0,0.10910714805369463,0.1091071480536946,2.7755575615628914e-17
CALCE_CS2,2024,CS2_37,250,TRAIL_Lite,0.12681890771420634,0.1268189077142063,2.7755575615628914e-17,0.11151439696326057,0.1115143969632605,6.938893903907228e-17
CALCE_CS2,2024,CS2_37,350,TRAIL_Lite,0.13266246716365307,0.132662467163653,8.326672684688674e-17,0.11727641301950978,0.1172764130195097,8.326672684688674e-17
CALCE_CS2,2024,CS2_37,150,TRAIL_full,0.3232486539018528,0.3232486539018528,0.0,0.2936497184208259,0.2936497184208259,0.0
CALCE_CS2,2024,CS2_37,250,TRAIL_full,0.2857288215529514,0.2857288215529514,0.0,0.2566510274736201,0.2566510274736201,0.0
CALCE_CS2,2024,CS2_37,350,TRAIL_full,0.24972068677165746,0.2497206867716574,5.551115123125783e-17,0.22432689941454328,0.2243268994145432,8.326672684688674e-17
CALCE_CS2,2024,CS2_38,150,Local_linear_anchor,0.06881862433888897,0.0688186243388889,6.938893903907228e-17,0.04697759616261101,0.046977596162611,1.3877787807814457e-17
CALCE_CS2,2024,CS2_38,250,Local_linear_anchor,0.10282604846764175,0.1028260484676417,4.163336342344337e-17,0.05959327312785,0.05959327312785,0.0
CALCE_CS2,2024,CS2_38,350,Local_linear_anchor,0.2635499380577565,0.2635499380577565,0.0,0.2086171027948802,0.2086171027948802,0.0
